Food_group,New_name
FRU0100,citrus_juice
FRU0200,fruit_juice_nocitrus
FRU0300,citrus_fruit
FRU0400,fruit_nocitrus
FRU0500,avocado
FRU0600,fried_fruit
FRU0700,fruit_savory_snack
VEG0100,darkgreen_veg
VEG0200,deepyellow_veg
VEG0300,tomato
VEG0400,white_potatoes
VEG0800,fried_potatoes
VEG0450,starchy_veg
VEG0700,legumes
VEG0600,other_veg
VEG0900,fried_veg
VEG0500,veg_juice
FMC0100,veg_savory_snack
GRW0100,whole_grain_mix
GRS0100,some_whole_grain_mix
GRR0100,refined_grain_mix
GRW0200,whole_grain_bread
GRS0200,some_whole_grain_bread
GRR0200,refined_grain_bread
GRW0300,whole_grain_other
GRS0300,some_whole_grain_other
GRR0300,refined_grain_other
GRW0400,whole_grain_cracker
GRS0400,some_whole_grain_cracker
GRR0400,refined_grain_cracker
GRW0500,whole_grain_pasta
GRS0500,some_whole_grain_pasta
GRR0500,refined_grain_pasta
GRW0600,whole_grain_cereal_nosweet
GRS0600,some_whole_grain_cereal_nosweet
GRR0600,refined_grain_cereal_nosweet
GRW0700,whole_grain_cereal_sweet
GRS0700,some_whole_grain_cereal_sweet
GRR0700,refined_grain_cereal_sweet
GRW0800,whole_grain_cookie
GRS0800,some_whole_grain_cookie
GRR0800,refined_grain_cookie
GRW1000,whole_grain_bar
GRS1000,some_whole_grain_bar
GRR1000,refined_grain_bar
GRW0900,whole_grain_chip
GRS0900,some_whole_grain_chip
GRR0900,refined_grain_chip
GRW1100,popcorn
GRW1200,popcorn_flavored
GRR1300,refined_grain_baby
MRF0100,beef
MRL0100,lean_beef
MRF0200,veal
MRL0200,lean_veal
MRF0300,lamb
MRL0300,lean_lamb
MRF0400,fresh_pork
MRL0400,lean_fresh_pork
MCF0200,cured_pork
MCL0200,lean_cured_pork
MRF0500,game
MPF0100,poultry
MPL0100,lean_poultry
MPF0200,fried_chicken
MFF0100,fresh_fish
MFL0100,lean_fish
MFF0200,fried_fish
MSL0100,shellfish
MSF0100,fried_shellfish
MCF0100,coldcuts_sausage
MCL0100,lean_coldcuts_sausage
MOF0100,organ_meat
MOF0200,babyfood_meat
FMC0200,meat_savory_snack
MOF0300,eggs
MOF0400,eggs_substitute
MOF0500,nuts_seeds
MOF0600,nut_seed_butters
MOF0700,meat_substitute
DMF0100,milk_whole
DMR0100,milk_reduced_fat
DML0100,milk_low_fat
DMN0100,milk_nondairy
DMF0200,milk_flavored_whole
DMR0200,milk_flavored_reduced_fat
DML0200,milk_flavored_low_fat
DML0300,sweetened_nonfat_dry_milk
DML0400,artificially_sweetened_nonfat_dry_milk
SWT0600,sweetened_no_nonfat_dry_milk
MSC1100,artificially_sweetened_no_nonfat_dry_milk
DCF0100,cheese_full_fat
DCR0100,cheese_reduced_fat
DCL0100,cheese_low_fat
DCN0100,cheese_nondairy
DYF0100,yogurt_sweetened_whole
DYR0100,yogurt_sweetened_low
DYL0100,yogurt_sweetened_free
DYF0200,yogurt_artificially_sweetened_whole
DYR0200,yogurt_artificially_sweetened_low
DYL0200,yogurt_artificially_sweetened_free
DYN0100,yogurt_nondairy
DOT0100,frozen_dairy
DOT0200,frozen_nondairy
DOT0300,pudding_other
DOT0400,artificially_sweetened_pudding
FCF0100,cream
FCR0100,cream_reduced
FCL0100,cream_low
FCN0100,cream_nondairy
DOT0500,dairy_sweetened_replacement
DOT0600,dairy_artificially_sweetened_replacement
DOT0700,infant_formula
DOT0800,infant_nondairy
FMF0100,margarine
FMR0100,margarine_reduced
FOF0100,oil
FSF0100,shortening
FAF0100,butter
FAR0100,butter_reduced
FDF0100,salad_dressing
FDR0100,salad_dressing_reduced
SWT0400,sugar
MSC1200,sugar_substitute
SWT0500,syrup_honey
SWT0700,sauces_sweet
SWT0800,sauces_sweet_regular
SWT0100,chocolate_candy
SWT0200,nonchocolate_candy
SWT0300,frosting
BVS0400,sweetened_soda
BVA0400,artificially_sweetened_soda
BVU0300,unsweetened_soda
BVS0300,sweetened_fruit_drink
BVA0300,artificially_sweetened_fruit_drink
BVS0500,sweetened_tea
BVA0500,artificially_sweetened_tea
BVU0400,unsweetened_tea
BVS0100,sweetened_coffee
BVA0100,artificially_sweetened_coffee
BVU0100,unsweetened_coffee
BVS0200,sweetened_coffee_substitute
BVA0200,artificially_sweetened_coffee_substitute
BVU0200,unsweetened_coffee_substitute
BVS0600,sweetened_water
BVA0600,artificially_sweetened_water
BVU0500,unsweetened_water
BVS0700,nondairy_sweetened_meal_replacement
BVA0700,nondairy_artificially_sweetened_meal_replacement
BVU0600,nondairy_unsweetened_meal_replacement
BVO0100,nonalcoholic_beer
BVO0200,nonalcoholic_light_beer
BVE0100,beer
BVE0400,liqueur
BVE0300,distilled_liquor
BVE0200,wine
MSC0100,gravy
MSC0200,gravy_reduced
MSC0300,sauces_regular
MSC0400,sauces_reduced
MSC0500,pickled_foods
MSC0600,misc_dessert
MSC0700,nongrain_flour
MSC0800,soup_broth
MSC0900,baby_food_dessert
MSC1000,misc_baby_food
GRW1300,baby_food_whole_grain
GRS1300,baby_food_some_whole_grain
